temperature_C,pressure_bar,flow_m_s,pH,CO2_ppm,H2S_ppm,DO_mgL,water_cut,inhibitor_eff,CP_voltage,P_corrosion,Corrosion
43.92,35.94,0.006,6.298,378.72,1.046,1.341,0.217,0.293,-0.74,0.837,1
61.85,25.18,0.564,4.547,80.45,8.712,0.757,0.242,0.27,-0.697,0.6744,0
80.24,27.93,0.24,7.468,441.15,2.193,0.602,0.495,0.363,-0.917,0.7735,0
60.07,26.38,1.192,6.255,5.94,2.067,0,0.019,0.137,-0.678,0.4798,1
58.1,31.57,1,5.02,377.81,0.059,0.122,0.118,0.18,-0.814,0.8169,1
56.43,28.21,1.151,6.247,32.3,22.003,0.332,0.197,0.109,-1.063,0.4939,0
58.2,33.65,0.948,6.917,392.41,4.734,0,0.245,0.212,-0.696,0.7391,0
73.73,25.34,0.303,6.823,224.67,2.747,0.649,0.123,0.332,-1.024,0.413,1
37.88,30.22,1.257,7.939,172.48,0.508,1.647,0.223,0.186,-1.032,0.5541,1
75.33,33.43,1.961,5.818,352,6.006,1.411,0.12,0.245,-0.617,0.8597,1
45.76,19.67,1.205,6.537,11.11,1.662,0.646,0.094,0.114,-0.951,0.4337,1
57.33,40.61,0.787,5.94,75.88,22.233,0.968,0.093,0.108,-1.014,0.6512,0
55.71,28.58,0.286,5.266,287.48,15.034,0.063,0.186,0.297,-0.915,0.8836,0
65.89,19.87,0.546,7.208,563.62,6.646,1.378,0.149,0.336,-0.973,0.6361,1
44.02,30.79,1.227,6.871,143.95,17.715,0,0.207,0.379,-0.327,0.4211,1
64.62,30.17,1.537,6.727,89.83,0.558,1.048,0.396,0.236,-0.8,0.5651,0
80.24,29.59,1.13,6.841,219.4,1.642,0.797,0.515,0.291,-0.672,0.7237,1
46.37,34.96,1.4,5.952,292.11,1.46,0.046,0.189,0.416,-0.564,0.6402,1
61.9,33.74,1.354,5.695,163.47,0.374,0.375,0.05,0.065,-0.76,0.7167,1
53.38,31.49,1.253,6.53,627.97,17.918,0,0.508,0.424,-0.549,0.7688,1
64.26,32.25,0.671,7.429,222.35,0.309,0,0.048,0.155,-0.64,0.6575,0
60.19,29.48,1.087,7.786,10.94,9.714,0,0.42,0.28,-0.685,0.4967,1
53.59,38.88,0.576,7.136,75.72,7.309,0.961,0.534,0.385,-0.767,0.2403,0
64.88,22.6,1.009,6.523,179.7,2.357,1.223,0.081,0.206,-0.583,0.775,1
78.04,30.7,1.165,6.716,358.93,0.095,0,0.399,0.344,-1.224,0.5344,0
58.09,30.33,1.839,6.509,74.44,0.031,1.603,0.255,0.307,-0.815,0.247,0
67.2,34.07,0.345,5.679,1122.15,1.141,0.493,0.051,0.262,-0.849,0.9804,1
47.07,25.78,1.241,6.52,115.06,3.405,0.674,0.16,0.444,-0.799,0.2396,0
50.44,21.28,1.741,5.432,228.09,3.062,0,0.157,0.043,-0.574,0.831,1
64.72,30.78,1.379,6.401,5.74,4.401,1.292,0.58,0.297,-0.823,0.5029,0
74.84,31.41,1.416,7.809,648.56,7.391,0.62,0.343,0.411,-0.968,0.7296,1
63.56,37.45,1.294,7.158,466.53,2.369,1.183,0.09,0.45,-1.259,0.5426,0
56.87,23.65,1.649,5.762,65.24,0.874,1.233,0.247,0.176,-0.825,0.6302,1
59.99,35.77,0.456,6.442,811.98,8.048,1.301,0.06,0.265,-0.606,0.9157,1
47.5,41.84,0.307,5.832,113.87,2.023,0.111,0.129,0.237,-0.823,0.6322,1
66.05,28.11,0.997,6.45,353.48,1.691,0.375,0.218,0.293,-0.757,0.7467,0
68.82,23.55,0.081,7.333,512.74,7.226,0.133,0.027,0.741,-0.817,0.7798,0
55.48,27.97,1.615,7.022,405.18,13.601,1.037,0.102,0.467,-0.668,0.4688,1
55.3,30.07,1.61,8.487,748.79,12.323,0.7,0.223,0.294,-0.738,0.8911,1
62.66,32.82,0.783,7.454,599.14,0.739,1.141,0.283,0.175,-0.808,0.852,1
55.63,27.04,0.815,6.663,1567.05,3.497,1.168,0.039,0.297,-1.094,0.9892,1
59.34,37.78,0.964,7.042,60.49,0.487,0,0.242,0.517,-0.965,0.2438,1
81,24.43,1.026,6.338,109.05,16.218,1.31,0.307,0.212,-0.774,0.6675,1
57.53,21.3,1.064,5.598,303.37,1.212,1.071,0.305,0.1,-0.572,0.8766,1
56.42,35.53,1.279,7.545,396.21,1.1,0.278,0.073,0.403,-0.804,0.4544,0
53.52,18.63,0.914,7.307,229.46,10.986,0.71,0.12,0.489,-0.77,0.3338,0
67.44,28.98,1.472,6.307,23.04,17.187,0.426,0.099,0.261,-0.895,0.5419,0
58.19,45.59,1.223,6.719,552.78,5.981,0.87,0.118,0.348,-0.797,0.592,0
53.51,29.94,0.697,7.493,972.29,0.645,0.277,0.117,0.547,-0.742,0.8156,0
73.21,24.4,1.668,7.177,156.02,3.326,0.787,0.11,0.264,-0.654,0.653,0
74.2,29.71,0.321,5.33,76.4,8.481,0.54,0.159,0.22,-1.138,0.7237,1
54,29.75,0.954,6.695,5.85,4.249,0.241,0.393,0.285,-0.991,0.4495,1
41.33,30.8,1.483,6.366,81.27,0.711,0.614,0.235,0.317,-0.78,0.2216,0
70.08,33.31,0.638,7.39,361.11,0.943,2.124,0.282,0.501,-0.67,0.4962,1
53.15,24.8,1.155,7.325,727.73,9.981,0.089,0.299,0.112,-1.02,0.8804,0
67.91,38.44,1.272,7.555,29.45,3.744,0.35,0.091,0.454,-1.146,0.2586,0
40.3,31.23,0.57,5.606,241.73,6.118,0.099,0.231,0.456,-0.594,0.6166,0
68.93,33.63,0.964,5.873,356.76,2.335,0.162,0.108,0.324,-0.799,0.6104,0
47.89,26.86,0.922,7.391,97.05,3.802,0.989,0.286,0.395,-0.796,0.2299,0
67.31,36.43,0.724,6.027,253.12,18.884,0.93,0.304,0.382,-0.833,0.4147,1
60.14,28.71,2.151,5.283,376.84,2,0.496,0.142,0.091,-1.112,0.8225,1
50.46,31.39,0.618,6.926,545.53,5.616,1.116,0.293,0.55,-0.604,0.5488,1
55.93,25.33,1.502,6.062,180.72,0.947,0.976,0.308,0.087,-0.558,0.7428,0
66.86,25.02,0.804,7.932,413.33,0.649,0.403,0.128,0.625,-0.653,0.5193,0
61.06,33.44,0.457,6.737,107.77,7.654,0,0.402,0.259,-1.052,0.5731,1
65.84,27.78,1.051,6.628,71.88,9.293,0.998,0.109,0.37,-0.902,0.2855,1
79.76,25.73,1.325,6.205,62.22,5.518,0.602,0.301,0.244,-1.2,0.6299,0
44.36,26.78,1.46,7.773,133.36,0.861,0.513,0.334,0.205,-0.629,0.525,0
76.17,33.49,1.781,6.787,10.96,1.376,0.22,0.142,0.374,-0.443,0.4394,0
61.04,26.85,2.473,6.173,99.8,12.105,0.947,0.188,0.433,-0.965,0.283,0
51.01,29.41,1.125,5.865,316.86,1.703,0.709,0.131,0.211,-0.503,0.8666,1
46.7,30.08,0.668,6.441,313.17,8.542,0.358,0.123,0.115,-0.75,0.6659,1
58.11,20.41,1.226,5.718,22.92,1.684,0,0.32,0.323,-0.929,0.3167,1
69.22,22.64,0.867,7.323,101.66,14.022,1.141,0.056,0.086,-1.076,0.6081,0
58.72,31.68,1.463,5.053,252.88,12.293,0.863,0.351,0.324,-1.032,0.4958,0
75.11,26.31,0.351,6.388,115.06,0.221,0.653,0.437,0.41,-0.847,0.3424,1
45.49,35.28,2.184,6.988,162.38,7.357,0,0.495,0.417,-0.859,0.2763,0
59.88,34.83,1.428,6.774,374.28,0.928,0.477,0.055,0.189,-1.063,0.7351,0
47.48,33.6,0.158,5.926,2.79,1.212,0.355,0.051,0.155,-0.562,0.8466,1
63.64,39.1,0.645,7.028,97.05,3.079,0.129,0.15,0.069,-0.552,0.7239,1
68.87,29.58,1.408,5.791,46.08,4.294,0.953,0.304,0.166,-1.07,0.6716,1
55.79,33.24,1.588,6.482,40.96,1.971,0.929,0.238,0.567,-0.684,0.2208,0
33.96,27.08,0.364,7.021,958.55,4.283,0.762,0.066,0.199,-0.679,0.9293,1
61.99,42.26,1.357,6.87,141.75,0.936,1.123,0.084,0.17,-0.522,0.7437,0
64.37,39.92,0.026,5.96,224.65,0.113,0,0.464,0.157,-1.143,0.8767,1
64.04,30.06,0.955,7.458,397.08,4.234,0.228,0.015,0.366,-0.932,0.493,0
72.36,31.93,1.556,6.569,14.58,3.643,0.545,0.239,0.596,-1.061,0.2672,1
49.29,36.8,0.724,7.094,82.73,5.85,0.127,0.02,0.497,-0.809,0.2312,0
66.8,29.26,0.247,7.723,535.4,5.247,0.936,0.109,0.124,-0.857,0.9236,1
71.93,26.72,1.073,7.394,594.13,11.389,0.187,0.2,0.66,-0.965,0.6837,1
42.21,34.37,0.698,7.396,140.02,3.076,1.279,0.514,0.163,-0.103,0.6942,1
63.2,30.39,1.315,6.654,140.93,0.042,0,0.18,0.27,-1.024,0.5955,0
54.96,30.91,0.557,7.135,424.28,4.98,1.779,0.271,0.428,-0.922,0.468,0
59.18,25.83,0.614,6.671,104.9,5.622,1.718,0.17,0.578,-0.585,0.4374,0
63.48,21.41,0.011,5.533,37.36,3.685,0.443,0.125,0.403,-0.827,0.5453,1
55.13,31.18,1.085,6.742,89.33,5.845,1.188,0.186,0.426,-0.811,0.2536,1
53.24,34.52,0.92,6.705,146.99,1.955,0.26,0.381,0.331,-0.718,0.2701,0
60.34,28.87,0.406,6.967,16.09,0.806,1.108,0.126,0.445,-0.553,0.367,0
49.13,37.18,1.097,6.398,195.42,5.461,0.394,0.092,0.383,-0.708,0.2966,0
49.14,26.48,1.514,5.891,404.13,1.406,0,0.238,0.292,-1.037,0.8041,1
66.79,24.73,0.892,7.025,216.31,3.047,0,0.223,0.076,-0.914,0.6648,1
48.51,29.66,1.134,5.449,22.38,3.383,0.339,0.316,0.169,-0.65,0.5664,0
66.66,29.59,1.137,7.667,174.03,3.243,0.667,0.2,0.117,-0.901,0.6354,1
64.63,33.85,0.398,6.315,370.23,4.562,1.298,0.338,0.404,-0.677,0.4758,1
42.74,26.13,2.028,6.696,17.96,0.149,0.522,0.076,0.193,-0.696,0.4388,0
53.22,36.84,0.765,6.947,18.51,22.87,1.102,0.343,0.167,-1.013,0.4676,1
71.94,39.83,1.328,6.973,138.9,6.299,0.228,0.257,0.47,-0.737,0.3556,0
50.19,29.8,1.385,5.373,65.06,2.77,0.298,0.118,0.316,-0.872,0.3098,0
55.36,36.25,0.93,7.159,819,1.062,1.132,0.231,0.078,-1.093,0.9059,1
64.62,24.72,1.303,6.743,261.21,0.418,0,0.249,0.18,-0.985,0.6848,1
67.83,35.38,1.123,5.992,101.62,5.577,0.508,0.163,0.107,-0.801,0.7133,1
57.48,35.24,0.291,5.9,366.01,1.906,0.26,0.196,0.19,-0.908,0.9045,1
54.02,34.32,0.834,6.233,140.97,1.303,1.316,0.267,0.488,-0.722,0.2696,0
74.22,29.92,0.694,5.461,42.51,2.39,0.183,0.018,0.136,-0.926,0.6925,1
77.39,15.23,0.769,7.878,81.24,4.494,0.81,0.244,0.238,-0.394,0.767,1
69.79,26.79,0.348,7.689,308.79,5.569,1.053,0.043,0.535,-0.919,0.4681,0
60.85,26.87,1.563,6.861,15.98,5.181,0,0.417,0.506,-0.618,0.2342,0
51.92,25.11,1.801,6.321,95.52,9.949,0.416,0.249,0.191,-0.9,0.5187,0
51.7,30.61,1.489,6.342,70.08,1.234,0.241,0.063,0.179,-0.664,0.486,0
65.23,27.91,1.635,7.106,67.37,5.063,1.068,0.378,0.123,-0.901,0.5638,1
64.18,25.88,0.828,7.906,344.43,0.533,0.905,0.183,0.268,-0.26,0.8477,1
74.02,24.71,0.682,6.044,524.29,3.97,0.36,0.102,0.315,-0.988,0.6349,0
66.5,26.42,0.611,5.606,377.49,4.385,0,0.118,0.448,-0.85,0.6136,1
44.97,35.61,1.322,7.738,311.31,1.218,1.123,0.169,0.384,-0.656,0.3621,1
70.52,26.69,1.114,5.07,744.7,2.485,0.459,0.029,0.414,-1.01,0.8381,0
50.02,27.43,0.961,5.693,18.05,8.778,0,0.353,0.22,-0.605,0.5756,0
56.16,27.72,1.648,6.303,54.99,0.803,0,0.039,0.084,-0.287,0.6656,1
62.5,31.69,1.202,5.252,160.54,2.85,0.763,0.061,0.437,-1.001,0.4333,1
79.96,32.28,0.581,7.39,139.78,13.495,0,0.107,0.082,-0.766,0.6832,1
91.1,14.78,0.66,7.186,162.41,3.507,1.616,0.13,0.325,-0.768,0.4524,1
66.07,35.11,1.341,6.04,69.37,6.457,0,0.336,0.102,-1.048,0.5694,1
58.17,37.18,1.521,7.524,48.58,8.768,0.5,0.091,0.215,-0.986,0.5148,0
65.35,24.75,1.276,7.659,213.51,1.139,0.595,0.574,0.435,-1.272,0.3653,1
68.88,25.14,1.948,6.409,789.55,1.231,0.062,0.089,0.324,-0.831,0.7766,1
56.79,27.75,1.818,6.139,149.26,7.106,0,0.158,0.188,-0.763,0.5826,1
77.95,26.22,1.221,8.308,13.3,6.998,0.615,0.296,0.259,-0.747,0.5864,1
62.3,31.12,0.581,7.077,367.42,0.31,0.048,0.228,0.159,-0.649,0.7404,1
64.98,20.27,0.345,6.705,103.21,1.947,0.57,0.117,0.063,-0.574,0.7329,1
66.66,24.41,0.806,7.591,84.35,2.542,0.427,0.126,0.113,-0.818,0.5711,0
64.22,37.7,1.377,6.742,117.58,8.832,0.658,0.09,0.081,-0.857,0.5956,1
68.39,25.36,1.913,6.096,386.01,2.74,1.437,0.129,0.203,-0.678,0.7731,0
53.83,36.22,1.209,6.564,512.48,13.014,0.172,0.237,0.431,-0.391,0.7035,1
54.42,31.78,1.584,7.331,266.06,28.431,0.219,0.161,0.129,-1.118,0.654,1
49,20.95,0.877,4.906,116.79,7.587,0,0.029,0.328,-1.066,0.3544,0
64.4,33.18,1.311,6.27,111.53,5.489,0.383,0.178,0.488,-1.026,0.3042,1
67.79,29.41,1.412,7.606,39.82,2.487,0.746,0.172,0.27,-1.042,0.5437,1
64.58,27.72,0.01,6.091,812.27,0.347,0.21,0.232,0.09,-1.179,0.9619,1
76.74,31.22,0.793,7.737,304.95,4.256,0.75,0.243,0.046,-0.836,0.7595,1
59.94,32.37,1.475,7.632,8.2,2.245,0.393,0.274,0.138,-1.132,0.4809,0
66.69,33.54,1.137,6.448,325.74,2.161,0,0.209,0.49,-0.685,0.4529,1
49.08,35.89,0.402,6.045,177.8,5.819,0.687,0.162,0.252,-0.543,0.7278,1
56.13,32.04,0.215,6.27,1078.7,3.115,0.377,0.087,0.403,-1.013,0.9345,1
66.96,23.12,0.817,8.632,512.89,6.974,0.574,0.075,0.469,-0.874,0.6053,0
68.49,27.63,0.964,8,56.37,2.539,0.16,0.254,0.226,-0.791,0.5595,0
57.06,44.72,0.558,6.6,382.01,0.818,0.107,0.054,0.178,-0.537,0.8439,1
59.28,33.62,1.072,6.013,199.41,3.093,0.594,0.112,0.396,-0.84,0.3283,0
44.82,41.85,1.253,6.594,62.12,15.081,0.362,0.149,0.458,-0.947,0.2203,0
56.43,36.98,1.335,6.695,359.93,8.085,1.535,0.069,0.039,-0.652,0.7228,1
68.9,31.21,0.178,5.505,237.82,1.152,0.979,0.095,0.189,-0.978,0.8901,1
65.75,31.51,0.343,6.564,9.25,2.482,0.827,0.293,0.126,-0.936,0.5107,0
65.01,29.82,0.848,7.558,312.04,13.141,0.394,0.071,0.254,-0.708,0.7283,1
60.5,21.31,1.286,5.061,302.35,0.66,0,0.053,0.069,-0.729,0.7887,1
60.07,30.09,1.245,7.161,46.68,1.465,0.015,0.023,0.205,-0.994,0.5104,0
53.4,36.05,1.236,7.6,128.77,1.521,0.112,0.373,0.23,-0.72,0.5385,1
66.99,27,0.808,6.052,264.49,4.231,0.335,0.071,0.165,-1.005,0.697,1
64.21,32.06,0.836,7.855,44.82,2.644,0.48,0.204,0.177,-0.988,0.5296,0
64.92,34.26,0.636,5.948,574.63,0.416,0.894,0.352,0.109,-0.967,0.9022,1
54.74,25.45,1.384,6.853,8.36,4.96,0.664,0.134,0.077,-0.834,0.4551,0
38.47,27.74,0.54,6.255,32.56,0.522,1.196,0.115,0.73,-0.752,0.1974,0
70.97,24.91,1.425,6.254,37.03,4.662,0.313,0.341,0.436,-0.882,0.275,0
55.21,25.89,1.104,6.006,225.3,3.536,0.654,0.238,0.045,-0.647,0.6178,1
51.37,23.56,0.977,7.059,290.37,3.403,0.706,0.336,0.181,-0.764,0.6453,0
66.93,25.5,0.672,7.179,155.12,0.349,0.647,0.144,0.06,-0.768,0.6234,1
56.08,37.1,0.322,6.448,102.18,5.097,1.269,0.315,0.246,-0.71,0.5444,0
70.6,25.42,0.676,5.412,497.14,2.822,0.982,0.327,0.366,-0.577,0.8325,1
66.17,30.63,0.835,6.823,21.22,2.648,0,0.161,0.085,-0.703,0.5218,0
66.84,27.49,0.185,6.838,98.67,4.537,0.431,0.347,0.554,-0.566,0.6531,0
46.34,35.89,0.901,6.327,11.97,4.66,0.492,0.146,0.47,-0.644,0.1878,0
72.12,36.56,1.462,7.994,4.2,0.076,1.791,0.137,0.274,-0.819,0.5387,0
62.61,34.32,1.284,5.249,130.8,0.669,0.302,0.383,0.432,-0.873,0.4121,1
56.31,31.53,0.752,4.726,65.01,1.349,0,0.208,0.353,-0.562,0.5053,0
61.43,28.84,1.023,5.915,93.74,5.666,0.763,0.112,0.646,-0.665,0.3917,0
42.24,24.04,0.722,7.068,516.02,4.299,0.798,0.142,0.121,-0.915,0.777,0
64.09,39.72,1.074,5.655,53.37,7.086,0.456,0.149,0.468,-0.953,0.3756,0
49.71,26.2,1.77,5.715,454.56,6.747,0.368,0.072,0.301,-0.812,0.602,1
46.47,33.32,1.484,7.261,337.23,9.593,1.069,0.255,0.197,-0.607,0.6817,0
44.78,35.3,1.26,6.87,118.56,2.365,0,0.208,0.213,-1.013,0.5139,1
71.13,27.22,0.754,6.802,237.27,2.116,0.295,0.173,0.288,-0.947,0.6973,1
53.71,35.19,1.375,7.125,176.33,8.89,0.187,0.109,0.019,-0.845,0.5874,1
75.34,33.82,0.157,6.16,41.23,1.356,1.156,0.228,0.079,-0.731,0.7559,0
54.64,38.64,0.874,6.197,713.15,3.092,0.671,0.073,0.31,-1.306,0.6753,0
42.93,27.65,1.292,7.148,252.92,1.08,0,0.044,0.229,-0.939,0.6127,0
48.83,23.57,1.37,5.424,636.68,12.258,0,0.229,0.255,-0.906,0.8966,1
72.36,27.47,1.335,4.786,520.89,2.62,1.624,0.206,0.281,-0.978,0.9011,1
58.44,31.04,1.147,6.153,24.94,1.194,1.15,0.067,0.282,-0.726,0.4859,0
54.52,30.29,0.902,7.245,69.68,5.888,1.005,0.487,0.534,-1.068,0.2404,0
61.6,28.03,1.269,6.704,47.09,1.403,0.507,0.108,0.377,-0.76,0.2448,0
65.02,20.45,0.524,7.186,532.97,14.368,1.405,0.231,0.33,-1.127,0.6105,0
71.17,32.35,0.578,4.887,595.12,2.291,0,0.093,0.099,-0.911,0.9175,1
74.48,39.86,1.031,6.752,225.21,5.463,0.952,0.185,0.069,-1.011,0.7141,1
56.4,32.32,1.087,7.023,33,2.117,0.234,0.227,0.151,-0.899,0.4818,1
46.74,33.05,0.087,5.419,43.72,8.232,0.351,0.181,0.508,-0.796,0.4953,0
55.87,32.86,1.228,7.19,503.88,11.361,0.935,0.094,0.512,-0.754,0.5446,1
62.6,31.99,1.386,6.411,794.33,7.754,0.414,0.089,0.431,-0.886,0.7659,1
50.36,34.66,0.961,8.957,66.75,9.436,0.239,0.068,0.174,-0.72,0.4894,1
50.43,31.98,2.187,4.758,3.36,0.537,0.203,0.089,0.201,-0.616,0.5544,0
63.44,28.44,0.659,7.595,120.57,12.889,0,0.186,0.161,-1.101,0.594,1
59.51,26.02,0.819,6.185,9.29,4.895,0.958,0.402,0.381,-0.8,0.2172,0
60.33,28.76,0.802,5.206,528.03,10.171,0,0.165,0.051,-1.065,0.885,1
52.42,31.57,0.962,6.078,202.89,5.767,1.615,0.487,0.08,-0.751,0.6004,0
57.7,28.42,0.836,6.722,308.05,1.127,0.327,0.071,0.594,-1.241,0.3961,1
50.76,31.57,0.297,7.33,159.05,4.702,1.286,0.026,0.148,-1.09,0.7295,0
68.9,32.2,0.727,7.878,127.17,0.477,0,0.501,0.521,-0.78,0.3229,0
70.35,34.17,0.951,7.638,75.39,5.949,0.939,0.251,0.426,-0.853,0.3064,0
41.54,36.41,1.614,5.728,441.6,2.63,1.093,0.278,0.216,-0.571,0.9025,1
50.7,30.39,2.101,7.404,356.77,0.823,1.282,0.075,0.449,-0.596,0.5706,1
45.03,23.46,1.668,6.813,134.23,19.371,0,0.17,0.074,-0.719,0.5381,0
53.5,28.27,0.612,5.976,116.19,11.567,0.078,0.262,0.312,-0.658,0.3702,1
59.17,30.22,0.652,6.33,0.37,11.2,0.846,0.226,0.381,-1.149,0.22,0
45.5,20.82,0.92,5.932,19.7,7.775,0.589,0.189,0.319,-0.726,0.2909,0
50.78,36.94,1.892,6.53,292.86,5.888,0.676,0.046,0.381,-0.986,0.3645,0
49.96,30.71,0.917,5.916,216.84,5.322,0.284,0.052,0.411,-0.631,0.4257,1
62.07,31.91,0.336,5.678,171.17,0.561,1.43,0.349,0.221,-0.959,0.7221,1
60.69,36.83,0.749,6.883,527.21,11.541,2.065,0.207,0.314,-0.65,0.5855,1
52.78,26.85,1.379,7.003,210.29,10.649,0.562,0.159,0.025,-0.662,0.6074,1
61.77,32.87,1.345,6.35,145.59,6.889,0.772,0.219,0.389,-0.784,0.3148,0
54.53,29.45,0.9,7.594,52.76,13.108,0.534,0.422,0.393,-1.021,0.2313,1
57.28,29.08,1.342,6.292,515.59,4.027,1.27,0.361,0.316,-1.033,0.548,0
76.73,26.14,0.137,6.258,257.58,2.968,0.997,0.413,0.426,-0.565,0.7871,1
73.4,38.33,1.052,7.028,29.11,17.202,0,0.21,0.162,-0.623,0.5758,1
47,28.12,1.43,6.394,314,3.119,0.132,0.18,0.402,-0.995,0.364,0
68.3,33.5,0.584,6.568,166.05,5.127,0,0.374,0.362,-1.053,0.3576,1
68.11,20.62,0.582,4.484,500.42,2.335,2.117,0.098,0.372,-0.95,0.7034,1
48.52,35.9,0.067,6.513,753.68,5.057,0.881,0.194,0.537,-0.395,0.9098,0
68.19,35.26,1.795,5.038,275.24,6.367,0.143,0.133,0.582,-0.589,0.719,1
75.38,30.49,0.64,5.523,394.6,4.9,0.095,0.208,0.285,-0.697,0.8689,1
48.77,28.87,1.121,5.432,17.48,3.614,0.983,0.015,0.356,-0.92,0.2794,1
50.82,32,1.302,5.666,246.47,1.784,1.043,0.139,0.219,-0.523,0.8397,1
70.18,41.44,1.756,6.061,422.37,5.162,0.979,0.073,0.319,-0.771,0.5549,0
62.71,21.18,0.923,6.111,206.01,11.953,0.245,0.506,0.807,-1.153,0.3595,0
65.51,33.91,0.73,7.031,270.09,0.035,0.684,0.11,0.313,-1.248,0.4063,0
63.41,25.44,1.087,6.678,687.64,0.719,0.567,0.263,0.327,-0.501,0.8222,0
63.91,29.9,1.642,4.979,66.23,0.638,0,0.101,0.19,-0.992,0.663,1
46.74,28.76,0.915,6.567,31.02,12.833,0,0.338,0.079,-1.145,0.4608,0
70.47,27.86,0.523,6.755,351.98,5.435,0.747,0.279,0.368,-0.51,0.6716,0
71.7,29.95,0.23,6.237,519.23,15.161,0.618,0.204,0.132,-0.495,0.9624,1
57.71,24.33,0.389,6.451,570.12,4.371,0.832,0.062,0.421,-0.718,0.5901,0
59.57,35.15,1.432,6.652,307.87,3.097,0.975,0.123,0.16,-1.259,0.6932,0
44.69,21.03,0.84,7.112,537.31,7.859,1.4,0.06,0.315,-1.031,0.5404,0
65.14,32.7,0.696,5.24,361.86,0.877,0.034,0.025,0.089,-0.911,0.8304,1
65.72,28.37,0.642,6.305,27.43,2.401,0.878,0.274,0.476,-0.485,0.4005,0
59.38,24.15,1.043,7.707,430.7,3.139,0.95,0.436,0.295,-0.699,0.7649,0
71.24,31.01,0.88,7.633,59.3,1.772,0.313,0.623,0.094,-0.992,0.5751,1
56.66,22.22,0.863,7.181,81,2.32,0.573,0.342,0.231,-0.621,0.519,1
65.65,30.2,1.675,6.929,150.58,0.407,0.328,0.228,0.269,-0.88,0.6141,1
49.8,22.89,1.769,7.824,113.31,1.103,1.765,0.104,0.515,-1.085,0.2387,0
59.76,32.31,0.195,8.034,116.43,2.044,0.563,0.256,0.263,-0.709,0.7397,1
58.26,25.38,1.164,6.397,55.63,7.945,0.771,0.41,0.476,-0.519,0.397,0
62.25,27.75,0.612,5.724,104.39,1.008,0.342,0.193,0.233,-0.982,0.681,1
56.3,31.47,0.876,6.284,5.96,2.128,0.212,0.096,0.492,-0.941,0.2049,0
58.69,26.14,1.155,8.977,192.12,0.336,0,0.324,0.371,-0.967,0.3208,0
68.26,29.71,0.894,5.245,439.07,4.072,1.16,0.087,0.414,-0.912,0.6643,0
55.63,22.43,1.115,6.124,594.69,4.724,0.961,0.053,0.084,-0.816,0.8316,1
43.93,33.15,1.336,5.37,515.15,10.032,0.319,0.081,0.193,-0.811,0.8576,1
77.5,38.82,1.147,6.6,161.59,8.549,0,0.058,0.205,-0.793,0.6867,1
73.81,43.96,0.677,5.538,393.27,1.68,0.608,0.102,0.127,-0.979,0.8648,0
47.08,30.46,0.685,6.413,101.86,0.736,0.201,0.211,0.267,-0.617,0.5014,1
66.9,33.94,0.28,4.94,17.15,0.849,0.367,0.226,0.253,-1.266,0.8005,1
54.97,21.1,0.573,6.994,338.08,17.363,0,0.134,0.411,-1.008,0.4167,1
62.63,37.51,1.981,7.478,313.92,5.592,0.63,0.127,0.332,-0.97,0.4365,1
62.94,33.88,0.604,6.193,485.29,0.218,0.642,0.038,0.4,-0.972,0.5535,1
57.66,27.58,0.403,6.392,287.22,0.735,1.157,0.064,0.39,-0.823,0.381,0
52.16,36.19,1.16,6.369,51.2,3.326,0.41,0.166,0.317,-0.746,0.2136,0
53.09,28.73,0.945,6.645,575.53,1.165,0.3,0.167,0.121,-0.915,0.8158,1
50.84,27.71,0.902,6.469,296.06,8.14,0,0.14,0.108,-0.946,0.6581,1
51.68,32.38,1.705,7.114,494.47,4.257,1.161,0.088,0.509,-1.018,0.5043,1
59.33,24.68,1.275,7.486,446.31,4.742,1.036,0.043,0.342,-0.578,0.6738,1
52.84,35.11,0.735,5.849,106.09,3.107,0.517,0.105,0.453,-0.863,0.3487,0
66.82,24.72,0.788,6.253,23.24,1.479,0,0.186,0.413,-1.041,0.2509,0
74.87,24.75,0.749,7.221,58.26,4.451,0,0.004,0.172,-0.85,0.592,1
54.2,25.45,1.437,5.363,29.24,6.311,0.172,0.142,0.082,-0.987,0.6039,0
62.39,33.8,0.846,4.923,83.68,2.318,1.079,0.138,0.302,-0.868,0.3773,1
65,26.92,0.103,6.681,184.6,3.515,0.674,0.235,0.354,-0.606,0.5384,0
64.72,23.26,0.976,6.897,711.94,9.153,0,0.344,0.26,-0.505,0.9469,0
60.76,26.97,0.231,5.922,616.76,0.805,0.743,0.241,0.204,-0.786,0.9554,1
67.43,29.84,2.092,6.037,380.39,3.94,0,0.185,0.111,-0.926,0.7667,0
64.82,24.1,0.517,5.892,7.32,2.142,0.187,0.083,0.399,-0.796,0.3359,0
47.62,24.24,0.919,5.806,125.29,6.067,1.083,0.193,0.556,-0.747,0.3603,1
68.69,40.56,1.129,7.055,344.04,0.095,0.959,0.088,0.202,-0.839,0.7514,0
68.87,25.7,0.856,5.556,41.44,5.55,1.156,0.115,0.314,-0.676,0.3898,1
52.37,28.38,0.855,6.288,484.47,0.543,0.486,0.125,0.614,-0.656,0.5002,0
60.38,28.16,1.211,5.776,738.03,0.335,1.03,0.111,0.323,-1.213,0.8056,1
66.83,27.89,1.763,5.336,131.14,6.448,0.148,0.206,0.094,-0.666,0.7271,1
